t(s),roll(rad),pitch(rad),yaw(rad),roll(deg),pitch(deg),yaw(deg)
554150.4994745000,0.0055483172,-0.0112253092,0.2227787433,0.3178951596,-0.6431628397,12.7642817560
554151.4994925000,0.0054754973,-0.0112187675,0.2052064027,0.3137228839,-0.6427880291,11.7574608033
554152.4995105000,0.0055059431,-0.0112069830,0.2015339903,0.3154673029,-0.6421128253,11.5470470733
554153.4995285000,0.0055119011,-0.0112130537,0.2047027957,0.3158086702,-0.6424606546,11.7286062463
554154.4995465000,0.0054931406,-0.0111767065,0.2262222350,0.3147337712,-0.6403781129,12.9615792988
554155.4995645001,0.0055001113,-0.0112313452,0.2168689985,0.3151331626,-0.6435086791,12.4256783186
554156.4995825000,0.0055178913,-0.0112497032,0.2188384101,0.3161518839,-0.6445605131,12.5385172955
554157.4996005000,0.0055121212,-0.0111887697,0.2065448926,0.3158212802,-0.6410692830,11.8341506241
554158.4996185000,0.0055544662,-0.0111402649,0.1823485885,0.3182474734,-0.6382901640,10.4478045201
554159.4996370000,0.0055180805,-0.0112130051,0.1992022367,0.3161627264,-0.6424578666,11.4134474326
554160.4996555001,0.0054935361,-0.0111888017,0.2308858175,0.3147564311,-0.6410711156,13.2287828925
554161.4996735000,0.0054691719,-0.0111951818,0.2080681406,0.3133604665,-0.6414366674,11.9214263069
554162.4996915000,0.0055060338,-0.0111648010,0.2233194993,0.3154724986,-0.6396959753,12.7952647925
554163.4997095000,0.0055001192,-0.0112016255,0.1868266330,0.3151336191,-0.6418058634,10.7043775728
554164.4997275000,0.0055359954,-0.0112010977,0.2216064800,0.3171891702,-0.6417756267,12.6971160171
554165.4997455000,0.0055424667,-0.0112198898,0.2225354357,0.3175599506,-0.6428523348,12.7503412586
554166.4997634999,0.0054993739,-0.0111895557,0.2107607217,0.3150909145,-0.6411143148,12.0756998425
554167.4997815000,0.0054877639,-0.0112072320,0.2069360742,0.3144257103,-0.6421270954,11.8565636805
554168.4997995000,0.0054936216,-0.0112136973,0.2220785542,0.3147613302,-0.6424975288,12.7241638784
554169.4998180000,0.0055117452,-0.0112075238,0.2066719464,0.3157997405,-0.6421438127,11.8414302714
554170.4998365000,0.0055304031,-0.0112198404,0.1924936805,0.3168687538,-0.6428495035,11.0290754760
554171.4998544999,0.0055056695,-0.0112261000,0.1840151296,0.3154516237,-0.6432081528,10.5432902931
554172.4998725000,0.0055242918,-0.0112258566,0.2095359027,0.3165186057,-0.6431942032,12.0055228825
554173.4998905000,0.0055057651,-0.0112016987,0.2164621431,0.3154571023,-0.6418100614,12.4023672230
554174.4999085000,0.0055486121,-0.0112443043,0.2264073292,0.3179120543,-0.6442511775,12.9721844161
554175.4999265000,0.0054939200,-0.0112014798,0.2153964258,0.3147784272,-0.6417975170,12.3413061200
554176.4999445000,0.0055242889,-0.0112073859,0.2272479542,0.3165184385,-0.6421359124,13.0203486781
554177.4999625001,0.0055181589,-0.0111889012,0.2232890250,0.3161672169,-0.6410768158,12.7935187436
554178.4999805000,0.0055059641,-0.0112257653,0.2163778073,0.3154685066,-0.6431889746,12.3975351412
554179.4999995000,0.0054875212,-0.0112134997,0.2154719086,0.3144118055,-0.6424862091,12.3456309678
554180.5000175000,0.0055056466,-0.0112016968,0.2350615379,0.3154503155,-0.6418099516,13.4680340482
554181.5000355000,0.0054631384,-0.0112073685,0.2009229630,0.3130147730,-0.6421349151,11.5120377897
554182.5000535001,0.0055428678,-0.0112191330,0.2059839379,0.3175829339,-0.6428089679,11.8020102910
554183.5000715000,0.0055117650,-0.0111828999,0.2291333190,0.3158008711,-0.6407329683,13.1283721268
554184.5000895000,0.0055180833,-0.0111888469,0.2209482747,0.3161628821,-0.6410737038,12.6594036335
554185.5001085000,0.0055179602,-0.0111831329,0.2008825080,0.3161558331,-0.6407463178,11.5097198891
554186.5001255000,0.0055302397,-0.0112261120,0.2077011382,0.3168593971,-0.6432088384,11.9003986217
554187.5001435000,0.0054813460,-0.0112014860,0.2510980006,0.3140579926,-0.6417978725,14.3868556769
554188.5001614999,0.0055363518,-0.0112014894,0.2062021587,0.3172095897,-0.6417980650,11.8145134213
554189.5001805000,0.0055174685,-0.0111895861,0.1837714607,0.3161276580,-0.6411160553,10.5293290902
554190.5001985000,0.0055308019,-0.0112066852,0.1918806258,0.3168916083,-0.6420957668,10.9939500306
554191.5002165000,0.0054934062,-0.0112011042,0.2240450959,0.3147489876,-0.6417759983,12.8368384156
554192.5002345000,0.0055363096,-0.0112198341,0.2201847476,0.3172071744,-0.6428491389,12.6156567490
554193.5002530001,0.0055179610,-0.0112015162,0.2155196005,0.3161558766,-0.6417996039,12.3483635082
554194.5002705000,0.0055302811,-0.0111770724,0.2044878485,0.3168617650,-0.6403990772,11.7162906784
554195.5002890000,0.0055363127,-0.0112199797,0.1947982655,0.3172073497,-0.6428574836,11.1611184701
554196.5003065000,0.0054878092,-0.0111827834,0.2393673493,0.3144283039,-0.6407262943,13.7147388657
554197.5003245000,0.0055058818,-0.0112197639,0.2012933507,0.3154637884,-0.6428451196,11.5332594374
554198.5003430001,0.0055362215,-0.0112015079,0.2061341175,0.3172021244,-0.6417991249,11.8106149471
554199.5003615000,0.0054816205,-0.0111769920,0.2063469326,0.3140737195,-0.6403944699,11.8228083562
554200.5003795000,0.0055118078,-0.0112074829,0.2253439164,0.3158033259,-0.6421414684,12.9112553466
554201.5003975000,0.0055488163,-0.0112322476,0.1987526801,0.3179237551,-0.6435603825,11.3876897341
554202.5004155000,0.0055483560,-0.0112141961,0.1934030289,0.3178973830,-0.6425261084,11.0811773034
554203.5004335000,0.0055181723,-0.0112254118,0.2104826313,0.3161679834,-0.6431687221,12.0597664338
554204.5004515001,0.0055238899,-0.0112323226,0.1984419002,0.3164955805,-0.6435646788,11.3698833608
554205.5004695000,0.0054998208,-0.0112071898,0.2095073854,0.3151165215,-0.6421246739,12.0038889602
554206.5004875000,0.0054997418,-0.0112071757,0.2000976447,0.3151119931,-0.6421238669,11.4647505296
554207.5005055000,0.0054872444,-0.0112069996,0.2072285735,0.3143959468,-0.6421137805,11.8733226550
554208.5005240000,0.0055298900,-0.0111953569,0.2178406330,0.3168393608,-0.6414467009,12.4813488784
554209.5005425001,0.0055304433,-0.0111761785,0.2208911346,0.3168710587,-0.6403478575,12.6561297439
554210.5005605000,0.0054997830,-0.0111885864,0.2302272635,0.3151143542,-0.6410587775,13.1910505293
554211.5005785000,0.0055303584,-0.0112316957,0.2350771329,0.3168661947,-0.6435287604,13.4689275779
554212.5005965000,0.0055056141,-0.0112010837,0.1879068086,0.3154484516,-0.6417748226,10.7662670763
554213.5006145000,0.0054689761,-0.0111949867,0.1906059555,0.3133492500,-0.6414254892,10.9209167994
554214.5006325000,0.0055058990,-0.0112067559,0.2260531496,0.3154647756,-0.6420998143,12.9518914157
554215.5006504999,0.0055060612,-0.0112017213,0.2108759481,0.3154740692,-0.6418113522,12.0823018283
554216.5006685000,0.0055241392,-0.0112375353,0.2211224193,0.3165098620,-0.6438633426,12.6693813800
554217.5006865000,0.0055241310,-0.0111894699,0.2069588419,0.3165093896,-0.6411094018,11.8578681727
554218.5007055000,0.0055120186,-0.0111831000,0.1965670106,0.3158154048,-0.6407444340,11.2624600973
554219.5007235000,0.0055300749,-0.0111710642,0.1959407747,0.3168499508,-0.6400548301,11.2265794242
554220.5007414999,0.0055118108,-0.0111833806,0.1950646335,0.3158034952,-0.6407605099,11.1763802333
554221.5007595000,0.0054874557,-0.0112138806,0.2008154003,0.3144080505,-0.6425080297,11.5058748996
554222.5007775000,0.0055121048,-0.0112009081,0.2097916700,0.3158203433,-0.6417647636,12.0201772704
554223.5007955000,0.0055059307,-0.0112259230,0.2133476109,0.3154665896,-0.6431980110,12.2239176725
554224.5008135000,0.0055361855,-0.0112201443,0.1922004927,0.3172000634,-0.6428669145,11.0122770497
554225.5008315000,0.0055117522,-0.0112077091,0.2068428060,0.3158001405,-0.6421544313,11.8512198082
554226.5008495001,0.0055118891,-0.0112262574,0.2205896762,0.3158079835,-0.6432171680,12.6388574506
554227.5008675000,0.0055179754,-0.0111710911,0.2148399378,0.3161567044,-0.6400563720,12.3094217088
